keys,es,ru,pt,de,jp,fr,pl
You go play games first!!,¡Ve a jugar primero!,А ты иди поиграй в игры первым!!,Primeiro você vai jogar videogame!!,Spiel du erst mal Spiele!,まずはゲームをしに行ってください！,Allez d'abord jouer à des jeux !,Najpierw idźcie pograć w gry!!
Do hard games!,¡Haz juegos difíciles!,Играйте в сложные игры!,Faça jogos difíceis!,Mach schwierige Spiele!,難しいゲームに挑戦しよう！,Jouez à des jeux difficiles !,Graj w trudne gry!
"No buy, play game!","¡No es un juego de comprar, sino de jugar!","Не покупай, играй в игру!","Sem comprar, jogue!","Kein Kauf, nur Spiel!",購入不要、プレイするだけ！,"Pas d'achat, jouez !","Nie kupuj, graj!"
Specialty! No buy ok!,¡Especialidad! ¡No se permite la compra!,Фирменное блюдо! Покупка запрещена!,"Especial! Sem compra, ok!",Spezialität! Kein Kauf erlaubt!,特選品！購入不要！,Spécialité ! Pas d'achat autorisé !,"Specjalność! Nie kupuj, OK!"
It costs bits!,¡Cuesta bits!,Это стоит копейки!,Custa bits!,Es kostet ein paar Cent!,費用がかかります！,Ça coûte des miettes !,Kosztuje krocie!
You cant!,¡No puedes!,Нельзя!,Você não pode!,Das geht nicht!,あなたはできません！,Tu ne peux pas !,Nie możesz!
It freen't!,¡No es gratis!,"Нет, это не свободно!",Não é grátis!,Es ist kostenlos!,無料じゃないよ！,Ce n'est pas gratuit !,Nie wolno!
Cant buy without bits for buying!!,¡No se puede comprar sin piezas para comprar!,Невозможно совершить покупку без дополнительных запчастей!,Não dá para comprar sem peças para comprar!!,Ohne die benötigten Kleinigkeiten kann man nichts kaufen!,購入に必要なビットがないと購入できません!!,Impossible d'acheter sans pièces pour l'achat !,Nie można kupić bez części do kupienia!!
Wrong!,¡Equivocado!,Неправильный!,Errado!,Falsch!,間違っている！,Faux!,Zło!
Ted need bits!,¡Ted necesita piezas!,Теду нужны запчасти!,Ted precisa de pedaços!,Ted braucht Kleinigkeiten!,テッドにはビットが必要だ！,Ted a besoin de morceaux !,Ted potrzebuje kawałków!
"You give Ted bits, Ted give you heads.","Tú le das trozos a Ted, Ted te da cabezas.","Ты даешь Теду кусочки, Тед дает тебе головы.","Você dá pedaços para o Ted, e o Ted te dá cabeças.","Du gibst Ted Kleinigkeiten, Ted gibt dir Köpfe.",テッドに小道具をあげれば、テッドは頭をくれる。,"Tu donnes des morceaux à Ted, Ted te donne des têtes.","Dajesz Tedowi kawałki, Ted daje ci głowy."
Come back when richer!,¡Vuelve cuando seas más rico!,"Приходите, когда разбогатеете!",Volte quando estiver mais rico!,"Komm wieder, wenn du reicher bist!",もっとお金持ちになって戻ってきてください！,Revenez quand vous serez plus riche !,Wróć bogatszy!
Choice is good!,¡La posibilidad de elegir es buena!,Выбор — это хорошо!,Ter opções é bom!,Auswahl ist gut!,選択肢があるのは良いことだ！,"Le choix, c'est bien !",Wybór jest dobry!
Cool Head!,¡Cabeza fría!,Хладнокровие!,Cabeça fria!,Ruhig Kopf!,冷静に！,Gardez votre sang-froid !,Spokojna głowa!
Thank you shopping here!,¡Gracias por comprar aquí!,Спасибо за покупку!,Obrigado por comprar aqui!,Vielen Dank für Ihren Einkauf!,当店をご利用いただきありがとうございます！,Merci d'avoir fait vos achats ici !,Dziękujemy za zakupy!
Buying!,¡Comprar!,Покупка!,Comprando!,Kauf!,購入します！,Achat!,Kupuję!
Thank! ............ HEY WHY YOU STEALING MY HEADS!?,¡Gracias! ............ ¡OYE! ¿POR QUÉ ROBAS MIS CABEZAS?,"Спасибо! ............ ЭЙ, ЗАЧЕМ ТЫ КРАДЕШЬ МОИ ГОЛОВЫ?!","Obrigado! ............ EI, POR QUE VOCÊ ESTÁ ROUBANDO MINHAS CABEÇAS!?","Danke! ............ HEY, WARUM STEHLT IHR MIR DIE KÖPFE?!",ありがとう！............ おい、なんで俺の頭を盗むんだ！？,"Merci ! ............ HÉ, POURQUOI TU ME VOLES LES TÊTES ?!","Dziękuję! ............ HEJ, CZEMU KRADNIESZ MOJE GŁOWY!?"
Yay Bits!!,¡¡Bits!!,"Ура, Bits!!",Viva os Bits!!,"Juhu, Bits!!",やったー、ビット！！,Super !,Brawo Bits!!
"Ooooh, spender BIG!","¡Ooooh, gasta MUCHO!","Ооо, транжира, тратит ОГРОМНЫЕ деньги!","Uau, gastador GRANDE!","Ooooh, gib richtig viel Geld aus!",おお、お金持ち！,"Oh là là, quel dépensier !","Ooooh, rozrzutnik WIELKI!"
That Antique!,¡Esa antigüedad!,Этот антиквариат!,Que antiguidade!,Dieses Antiquität!,あのアンティーク！,Cette antiquité !,Ten antyk!
Mr MoneyMan Bags Man!,¡El señor MoneyMan lleva bolsas!,Мистер МаниМэн Бэгсмен!,"Senhor MoneyMan, o Homem das Sacolas!",Herr Geldmann Taschenmann!,マネーマンバッグマン！,Monsieur MoneyMan emballe l'homme !,Pan MoneyMan Torby Człowiek!
Enjoy luxury head!,¡Disfruta de una cabeza de lujo!,Насладитесь роскошным отдыхом в ванной!,Desfrute de uma experiência de luxo!,Genießen Sie luxuriösen Kopf!,贅沢なヘッドをお楽しみください！,Offrez-vous une tête de luxe !,Ciesz się luksusową głową!
Aw I wanted that one,"Ay, yo quería ese","Ах, я хотела именно эту!","Ah, eu queria esse!","Ach, den hätte ich gern gehabt!",ああ、あれが欲しかったのに,"Ah, je le voulais !","Och, tego właśnie chciałem"
Im rich!!!,¡Soy rico!,Я богат!!!,Sou rico!!!,Ich bin reich!!!,私は金持ちだ!!!,Je suis riche !!!,Jestem bogaty!!!
